numer gracza	ksywa	inicjaly	LVL	EXP	SIL	DMG	WIO	NZ	N (budżet)	DB	SU	ST	SP	SZ	PŻ	kierowca	kurs cichociemnych	kurs THH	Kurs Małkowskiego	Kurs Wigierczyków	zWIO	zSIL	zN	zDB	plecak	hełm	zbroja	ręka 1	ręka 2	inne 1	inne 2	N wydane na gildię	N wydane prywatnie	uwagi
0071			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0072			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0073			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0074			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0075			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0076			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0077			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0078			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0079			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0080			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0081			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0082			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0083			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0084			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0085			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0086			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0087			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0088			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0089			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0090			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0091			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0092			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0093			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0094			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0095			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0096			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0097			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0098			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0099			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0100			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
